问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\obj\Debug\net472\UI\DSHWebWindowControl.g.i.cs,68,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,所选 .NET 版本中的行为变化,Active,Potential,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\obj\Debug\net472\UI\DSHWebWindowControl.g.i.cs,65,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/DeepSeekForVisualStudio;V1.0.0.0;component/ui/dshwebwindowcontrol.xaml"", System.UriKind.Relative);"
Api.0003,所选 .NET 版本中的行为变化,Active,Potential,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\obj\Debug\net472\UI\DSHWebWindowControl.g.i.cs,65,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/DeepSeekForVisualStudio;V1.0.0.0;component/ui/dshwebwindowcontrol.xaml"", System.UriKind.Relative);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\DSHWebWindowControl.xaml.cs,49,8,T:System.Windows.DependencyObject,,,,,protected override void OnVisualParentChanged(DependencyObject oldParent)
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\DSHWebWindowControl.xaml.cs,52,12,T:System.Windows.DependencyObject,,,,,if (VisualParent == null)                  _viewModel.NavigateRequested -= ViewModel_NavigateRequested;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\DSHWebWindowControl.xaml.cs,52,12,P:System.Windows.Media.Visual.VisualParent,,,,,if (VisualParent == null)                  _viewModel.NavigateRequested -= ViewModel_NavigateRequested;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\DSHWebWindowControl.xaml.cs,51,12,M:System.Windows.FrameworkElement.OnVisualParentChanged(System.Windows.DependencyObject),,,,,base.OnVisualParentChanged(oldParent);
Api.0003,所选 .NET 版本中的行为变化,Active,Potential,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\DSHWebWindowControl.xaml.cs,39,16,T:System.Uri,,,,,Browser.Source = new Uri(DshRunner.WebUrl);
Api.0003,所选 .NET 版本中的行为变化,Active,Potential,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\DSHWebWindowControl.xaml.cs,39,16,M:System.Uri.#ctor(System.String),,,,,Browser.Source = new Uri(DshRunner.WebUrl);
Api.0003,所选 .NET 版本中的行为变化,Active,Potential,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\DSHWebWindowControl.xaml.cs,39,16,T:System.Uri,,,,,Browser.Source = new Uri(DshRunner.WebUrl);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\DSHWebWindowControl.xaml.cs,22,8,T:System.Windows.RoutedEventArgs,,,,,"private async void OnLoaded(object sender, RoutedEventArgs e)"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\DSHWebWindowControl.xaml.cs,19,12,T:System.Windows.RoutedEventHandler,,,,,Loaded += OnLoaded;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\DSHWebWindowControl.xaml.cs,19,12,T:System.Windows.RoutedEventHandler,,,,,Loaded += OnLoaded;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\DSHWebWindowControl.xaml.cs,19,12,E:System.Windows.FrameworkElement.Loaded,,,,,Loaded += OnLoaded;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\DSHWebWindowControl.xaml.cs,18,12,P:System.Windows.FrameworkElement.DataContext,,,,,DataContext = _viewModel;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\DSHWebWindowControl.xaml.cs,13,8,M:System.Windows.Controls.UserControl.#ctor,,,,,public DSHWebWindowControl()          {              InitializeComponent();              _viewModel = new DSHWebWindowViewModel();              _viewModel.NavigateRequested += ViewModel_NavigateRequested;              DataContext = _viewModel;              Loaded += OnLoaded;          }
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\DSHWebWindowControl.xaml.cs,19,12,T:System.Windows.RoutedEventHandler,,,,,Loaded += OnLoaded;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\DSHWebWindowControl.xaml.cs,19,12,T:System.Windows.RoutedEventHandler,,,,,Loaded += OnLoaded;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\DSHWebWindowControl.xaml.cs,19,12,E:System.Windows.FrameworkElement.Loaded,,,,,Loaded += OnLoaded;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\DSHWebWindowControl.xaml.cs,18,12,P:System.Windows.FrameworkElement.DataContext,,,,,DataContext = _viewModel;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\DSHWebWindowControl.xaml.cs,13,8,M:System.Windows.Controls.UserControl.#ctor,,,,,public DSHWebWindowControl()          {              InitializeComponent();              _viewModel = new DSHWebWindowViewModel();              _viewModel.NavigateRequested += ViewModel_NavigateRequested;              DataContext = _viewModel;              Loaded += OnLoaded;          }
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\obj\Debug\net472\UI\DSHWebWindowControl.g.i.cs,43,106,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\DSHWebWindowControl.xaml.cs,8,47,T:System.Windows.Controls.UserControl,,,,,UserControl
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\obj\Debug\net472\UI\PromptDialog.g.i.cs,72,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\obj\Debug\net472\UI\PromptDialog.g.i.cs,72,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,所选 .NET 版本中的行为变化,Active,Potential,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\obj\Debug\net472\UI\PromptDialog.g.i.cs,69,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/DeepSeekForVisualStudio;V1.0.0.0;component/ui/promptdialog.xaml"", System.UriKind.Relative);"
Api.0003,所选 .NET 版本中的行为变化,Active,Potential,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\obj\Debug\net472\UI\PromptDialog.g.i.cs,69,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/DeepSeekForVisualStudio;V1.0.0.0;component/ui/promptdialog.xaml"", System.UriKind.Relative);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\PromptDialog.xaml.cs,12,12,P:System.Windows.FrameworkElement.DataContext,,,,,viewmodel = (PromptDialogViewModel)DataContext;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\PromptDialog.xaml.cs,9,8,M:System.Windows.Window.#ctor,,,,,"public PromptDialog(DSHAskContext context, bool forceSelection = false)          {              InitializeComponent();              viewmodel = (PromptDialogViewModel)DataContext;              viewmodel.InitializeContext(context, forceSelection);          }"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\PromptDialog.xaml.cs,12,12,P:System.Windows.FrameworkElement.DataContext,,,,,viewmodel = (PromptDialogViewModel)DataContext;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\PromptDialog.xaml.cs,9,8,M:System.Windows.Window.#ctor,,,,,"public PromptDialog(DSHAskContext context, bool forceSelection = false)          {              InitializeComponent();              viewmodel = (PromptDialogViewModel)DataContext;              viewmodel.InitializeContext(context, forceSelection);          }"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\obj\Debug\net472\UI\PromptDialog.g.i.cs,55,85,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\PromptDialog.xaml.cs,5,40,T:System.Windows.Window,,,,,Window
Api.0002,对所选 .NET 版本源代码不兼容,Active,Potential,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\Core\DshRunner.cs,39,20,M:System.TimeSpan.FromSeconds(System.Double),,,,,client.Timeout = TimeSpan.FromSeconds(1.5);
Api.0002,对所选 .NET 版本源代码不兼容,Active,Potential,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\Core\DshLocator.cs,129,20,M:System.TimeSpan.FromMinutes(System.Double),,,,,client.Timeout = System.TimeSpan.FromMinutes(5);
